naics_code,description,loan_count,total_approval,avg_loan,charge_off_pct,yoy_growth,top_state,top_lender
518210,"Data Processing, Hosting, and Related Services",591,329895000,558197.97,0.34,-3.97,CA,"Newtek Bank, National Association"
624190,Other Individual and Family Services,590,140609800,238321.69,1.86,-13.85,CA,The Huntington National Bank
523940,,584,303962200,520483.22,0.51,28.92,CA,Live Oak Banking Company
339999,All Other Miscellaneous Manufacturing,581,372084200,640420.31,1.03,23.16,OH,The Huntington National Bank
459120,"Hobby, Toy, and Game Stores",565,138543900,245210.44,1.06,41.46,CA,The Huntington National Bank
323113,Commercial Screen Printing,564,217098400,384926.24,1.24,8.55,CA,The Huntington National Bank
425120,Wholesale Trade Agents and Brokers,545,279344400,512558.53,2.02,17.07,FL,Northeast Bank
337110,Wood Kitchen Cabinet and Countertop Manufacturing,539,320796700,595170.13,1.3,4.88,CA,The Huntington National Bank
484210,Used Household and Office Goods Moving,539,223992900,415571.24,3.71,6,TX,The Huntington National Bank
423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers,538,289333100,537793.87,1.3,17.53,CA,"U.S. Bank, National Association"
445132,Vending Machine Operators,521,71939600,138079.85,0.58,51.82,TX,United Midwest Savings Bank National Association
237310,"Highway, Street, and Bridge Construction",520,315373100,606486.73,0.77,-24.24,FL,The Huntington National Bank
541320,Landscape Architectural Services,518,183362200,353981.08,0.58,-1.9,CA,The Huntington National Bank
423830,Industrial Machinery and Equipment Merchant Wholesalers,517,402627300,778776.21,0.58,7.78,TX,The Huntington National Bank
451110,Sporting Goods Stores,513,231631500,451523.39,1.75,-63.16,CA,"U.S. Bank, National Association"
